
## Torsion parameter: matched molecules ##
------------------------------------------------------------------------------------------
idx     ID      SMIRKS Pattern                                                         Number of molecules matched
157     t154     2
158     t155     3
------------------------------------------------------------------------------------------
# t1
tot: 8, eps: 0.4, Ncluster: 3, [-1  0  0 -1  1  1  2  2]
# t2
tot: 4, eps: 0.4, Ncluster: 2, [0 0 1 1]
# t3
tot: 22, eps: 0.4, Ncluster: 5, [-1 -1  0  0 -1 -1  1  1  1  1  2  2  2  2 -1  3  3 -1  4  4 -1 -1]
# t4
tot: 18, eps: 0.4, Ncluster: 5, [ 0  0  1  1  2  2  2  2  3  3  3  3 -1  4  4 -1 -1 -1]
# t5
# t6
All the molecules are the same? 
tot: 2, Ncluster: 1
# t7
All the molecules are the same? 
tot: 2, Ncluster: 1
# t8
All the molecules are the same? 
tot: 2, Ncluster: 1
# t9
    tot: 3, eps: 0.5, Ncluster: 3, [0 1 2]
# t10
All the molecules are the same? 
tot: 2, Ncluster: 1
# t11
    tot: 3, eps: 0.5, Ncluster: 2, [0 1 1]
# t12
tot: 1, Ncluster: 1
# t13
    tot: 3, eps: 0.5, Ncluster: 2, [0 0 1]
# t14
tot: 7, eps: 0.4, Ncluster: 2, [ 0  0 -1  1  1  1  1]
# t15
tot: 15, eps: 0.4, Ncluster: 5, [0 0 1 1 1 1 2 2 2 3 3 3 3 4 4]
# t16
# t17
tot: 8, eps: 0.4, Ncluster: 2, [ 0  0 -1  1  1 -1 -1 -1]
# t20
tot: 15, eps: 0.4, Ncluster: 4, [ 0  0 -1 -1 -1  1  1  2  2  2  2  3  3 -1 -1]
# t18
tot: 14, eps: 0.4, Ncluster: 4, [-1  0  1  1  2  2  2  2  0 -1 -1  0  3  3]
# t19
    tot: 5, eps: 0.5, Ncluster: 4, [0 1 2 3 3]
# t21
All the molecules are the same? 
tot: 2, Ncluster: 1
# t22
tot: 6, eps: 0.4, Ncluster: 2, [0 0 0 0 1 1]
# t23
    tot: 4, eps: 0.5, Ncluster: 3, [0 1 1 2]
# t24
tot: 2, Ncluster: 2
# t25
tot: 1, Ncluster: 1
# t26
All the molecules are the same? 
tot: 2, Ncluster: 1
# t27
tot: 8, eps: 0.4, Ncluster: 2, [-1 -1  0  0  0  0  1  1]
# t28
tot: 1, Ncluster: 1
# t29
tot: 1, Ncluster: 1
# t30
All the molecules are the same? 
tot: 2, Ncluster: 1
# t31
    tot: 3, eps: 0.5, Ncluster: 2, [0 1 1]
# t32
tot: 1, Ncluster: 1
# t33
All the molecules are the same? 
tot: 4, Ncluster: 1
# t34
tot: 1, Ncluster: 1
# t35
All the molecules are the same? 
tot: 4, Ncluster: 1
# t36
tot: 2, Ncluster: 2
# t37
tot: 1, Ncluster: 1
# t38
tot: 1, Ncluster: 1
# t39
All the molecules are the same? 
tot: 4, Ncluster: 1
# t40
tot: 1, Ncluster: 1
# t41
    tot: 3, eps: 0.5, Ncluster: 2, [0 1 1]
# t42
    tot: 3, eps: 0.5, Ncluster: 2, [0 1 1]
# t43
tot: 2, Ncluster: 2
# t44
tot: 22, eps: 0.4, Ncluster: 3, [-1  0  0 -1  1  1  1  1  2 -1 -1 -1 -1 -1 -1  2 -1  2 -1 -1 -1  2]
# t45
# t46
# t47
    tot: 6, eps: 0.5, Ncluster: 5, [0 1 2 3 4 4]
# t48
# t49
tot: 1, Ncluster: 1
# t50
# t51
    tot: 5, eps: 0.5, Ncluster: 2, [0 1 1 1 1]
# t51a
# t51ah
# t51b
# t51bh
# t51c
# t51ch
# t52
tot: 1, Ncluster: 1
# t54
All the molecules are the same? 
tot: 4, Ncluster: 1
# t55
tot: 6, eps: 0.4, Ncluster: 2, [0 0 1 1 1 1]
# t56
# t57
All the molecules are the same? 
tot: 2, Ncluster: 1
# t58
# t59
All the molecules are the same? 
tot: 2, Ncluster: 1
# t60
All the molecules are the same? 
tot: 2, Ncluster: 1
# t61
# t62
# t63
tot: 1, Ncluster: 1
# t64
All the molecules are the same? 
tot: 4, Ncluster: 1
# t65
tot: 1, Ncluster: 1
# t66
# t67
# t68
    tot: 3, eps: 0.5, Ncluster: 2, [0 0 1]
# t69
tot: 12, eps: 0.4, Ncluster: 2, [-1  0  0  0  0 -1 -1 -1 -1  1  1  1]
# t70
tot: 18, eps: 0.4, Ncluster: 4, [-1 -1 -1  0  0  0  0 -1 -1 -1 -1  1  1  2  3  3  2  2]
# t71
tot: 11, eps: 0.4, Ncluster: 3, [-1 -1  0  0  1  1 -1  2 -1 -1  2]
# t72
tot: 1, Ncluster: 1
# t73
tot: 1, Ncluster: 1
# t74
    tot: 3, eps: 0.5, Ncluster: 3, [0 1 2]
# t75
tot: 6, eps: 0.4, Ncluster: 2, [0 0 1 1 1 1]
# t76
All the molecules are the same? 
tot: 2, Ncluster: 1
# t77
# t78
tot: 1, Ncluster: 1
# t79
All the molecules are the same? 
tot: 2, Ncluster: 1
# t80
All the molecules are the same? 
tot: 2, Ncluster: 1
# t81
# t82
tot: 1, Ncluster: 1
# t83
tot: 2, Ncluster: 2
# t84
tot: 1, Ncluster: 1
# t85
    tot: 5, eps: 0.5, Ncluster: 2, [0 1 1 1 1]
# t86
tot: 2, Ncluster: 2
# t87
# t88
# t89
tot: 1, Ncluster: 1
# t90
tot: 1, Ncluster: 1
# t91
tot: 1, Ncluster: 1
# t92
tot: 1, Ncluster: 1
# t93
All the molecules are the same? 
tot: 4, Ncluster: 1
# t94
All the molecules are the same? 
tot: 3, Ncluster: 1
# t95
tot: 7, eps: 0.4, Ncluster: 2, [0 0 0 1 1 1 1]
# t96
tot: 10, eps: 0.4, Ncluster: 2, [ 0 -1  1  1  1  1 -1 -1  0 -1]
# t97
tot: 2, Ncluster: 2
# t98
tot: 5, eps: 0.4, Ncluster: 2, [-1  0  1  1  0]
# t99
    tot: 3, eps: 0.5, Ncluster: 2, [0 1 1]
# t100
    tot: 3, eps: 0.5, Ncluster: 2, [0 1 1]
# t101
    tot: 3, eps: 0.5, Ncluster: 2, [0 1 1]
# t102
    tot: 4, eps: 0.5, Ncluster: 4, [0 1 2 3]
# t103
# t104
# t105
# t106
tot: 1, Ncluster: 1
# t107
    tot: 3, eps: 0.5, Ncluster: 2, [0 1 1]
# t108
tot: 5, eps: 0.4, Ncluster: 2, [ 0  0 -1  1  1]
# t109
tot: 2, Ncluster: 2
# t110
# t111
# t112
tot: 7, eps: 0.4, Ncluster: 2, [ 0  0  1 -1  1  1  1]
# t113
tot: 1, Ncluster: 1
# t114
All the molecules are the same? 
tot: 2, Ncluster: 1
# t115
tot: 2, Ncluster: 2
# t116
# t117
tot: 1, Ncluster: 1
# t118
All the molecules are the same? 
tot: 2, Ncluster: 1
# t119
All the molecules are the same? 
tot: 4, Ncluster: 1
# t120
tot: 1, Ncluster: 1
# t121
All the molecules are the same? 
tot: 4, Ncluster: 1
# t122
tot: 1, Ncluster: 1
# t123
    tot: 5, eps: 0.5, Ncluster: 2, [0 1 1 1 1]
# t124
All the molecules are the same? 
tot: 4, Ncluster: 1
# t125
# t126
tot: 1, Ncluster: 1
# t127
All the molecules are the same? 
tot: 2, Ncluster: 1
# t128a
tot: 1, Ncluster: 1
# t128
# t129
# t130
    tot: 7, eps: 0.5, Ncluster: 2, [0 0 1 1 1 1 0]
# t131
All the molecules are the same? 
tot: 2, Ncluster: 1
# t133
    tot: 3, eps: 0.5, Ncluster: 2, [0 1 1]
# t134
tot: 6, eps: 0.4, Ncluster: 2, [ 0  0  1 -1  1  1]
# t135
All the molecules are the same? 
tot: 2, Ncluster: 1
# t136
tot: 2, Ncluster: 2
# t137
All the molecules are the same? 
tot: 2, Ncluster: 1
# t138
# t139
tot: 4, eps: 0.4, Ncluster: 2, [0 0 1 1]
# t140
All the molecules are the same? 
tot: 2, Ncluster: 1
# t141
# t142
tot: 1, Ncluster: 1
# t143
tot: 1, Ncluster: 1
# t144
tot: 1, Ncluster: 1
# t145
# t146
All the molecules are the same? 
tot: 2, Ncluster: 1
# t147
All the molecules are the same? 
tot: 2, Ncluster: 1
# t148
# t149
# t150
    tot: 4, eps: 0.5, Ncluster: 2, [0 1 1 1]
# t151
tot: 2, Ncluster: 2
# t152
    tot: 4, eps: 0.5, Ncluster: 2, [0 1 0 0]
# t154
tot: 1, Ncluster: 1
# t155
    tot: 3, eps: 0.25, Ncluster: 2, [0 1 1]
# t155b
tot: 1, Ncluster: 1
# t156
tot: 1, Ncluster: 1
# t157
tot: 8, eps: 0.4, Ncluster: 2, [-1 -1 -1  0  0 -1  1  1]
# t158
    tot: 4, eps: 0.5, Ncluster: 3, [0 1 2 0]

## Selecting Torsions... ##
------------------------------------------------------------------------------------------

*t1(0): C1[C@@H](O1)CCCF                        , indices: (2, 3, 4, 6)

*t1(1): [C@@](C(F)(F)Br)(F)(Cl)Br               , indices: (5, 1, 0, 6)

*t1(2): CC[C@H](CCl)Cl                          , indices: (1, 3, 2, 4)

*t2(0): Precalculated torsion scans detacted from 1st round.
    : C1[C@H](O1)CCCF                         , indices: (1, 2, 3, 4)
    : Update molecules_list_dict so that it has the same intial molecules.

*t2(1): CC[C@H](CCl)Cl                          , indices: (0, 1, 3, 2)

*t3(0): Non selected since the randomly selected rotation is already included.

*t3(1): CC[C@@H]1C[C@@]1(c2ccc(nn2)OC)N         , indices: (20, 7, 9, 26)

*t3(2): C[C@@H]1C[N@@](S(=O)(=O)C1)NC           , indices: (14, 2, 3, 15)

*t3(3): C[C@H](c1[nH][nH]c(=O)n1)NC#N           , indices: (11, 3, 4, 14)

*t3(4): CC[C@@H](CCl)Cl                         , indices: (7, 0, 1, 9)

*t4(0): Precalculated torsion scans detacted from 1st round.
    : C[C@@]1(CC(=O)N1)c2nccs2                , indices: (4, 5, 6, 17)
    : Update molecules_list_dict so that it has the same intial molecules.

*t4(1): Non selected since the randomly selected rotation is already included.

*t4(2): Non selected since the randomly selected rotation is already included.

*t4(3): Non selected since the randomly selected rotation is already included.

*t4(4): Non selected since the randomly selected rotation is already included.

*t6(0): Precalculated torsion scans detacted from 1st round.
    : [C@](C(F)(F)Br)(F)(Cl)Br                , indices: (2, 0, 1, 4)
    : Update molecules_list_dict so that it has the same intial molecules.

*t7(0): Precalculated torsion scans detacted from 1st round.
    : CC[C@H](CCl)Cl                          , indices: (4, 2, 3, 5)
    : Update molecules_list_dict so that it has the same intial molecules.

*t8(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t9(0): Precalculated torsion scans detacted. Choose one out of them.
    : CCO                                     , indices: (2, 1, 0, 5)
    : Update molecules_list_dict so that it has the same intial molecules.

*t9(1): CCOP(=O)(N)OCC                          , indices: (6, 2, 0, 9)

*t9(2): CC1(C(=O)OOC1(C)C)C                     , indices: (9, 2, 6, 20)

*t10(0): Precalculated torsion scans detacted from 1st round.
    : C1[C@@H](O1)CCCF                        , indices: (6, 4, 3, 13)
    : Update molecules_list_dict so that it has the same intial molecules.

*t11(0): Precalculated torsion scans detacted from 1st round.
    : CNCC(Cl)Cl                              , indices: (5, 2, 1, 10)
    : Update molecules_list_dict so that it has the same intial molecules.

*t11(1): Non selected since the randomly selected rotation is already included.

*t12(0): Precalculated torsion scans detacted. Choose one out of them.
    : C(CBr)c1[nH]nnn1                        , indices: (7, 2, 1, 8)
    : Update molecules_list_dict so that it has the same intial molecules.

*t13(0): Precalculated torsion scans detacted from 1st round.
    : C1[C@@H](O1)CCCF                        , indices: (3, 2, 1, 5)
    : Update molecules_list_dict so that it has the same intial molecules.

*t13(1): CC(=C)C1(CC1)CON                        , indices: (1, 4, 6, 8)

*t14(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t14(1): CC[C@H]1C[C@]1(c2ccc(nn2)OC)N           , indices: (4, 5, 9, 7)

*t15(0): C1[C@H](O1)CCCF                         , indices: (2, 1, 0, 5)

*t15(1): CC[C@@H]1C[C@]1(c2ccc(nn2)OC)N          , indices: (2, 6, 5, 9)

*t15(2): CC1([C@H]2[C@H]1CCC2)O                  , indices: (2, 4, 5, 6)

*t15(3): C1NC[C@@H]2[C@@H]1[C@H]2O               , indices: (0, 2, 3, 1)

*t15(4): CC1(C[C@]1(C(=O)N)C(=O)O)C              , indices: (0, 3, 4, 6)

*t17(0): Precalculated torsion scans detacted from 1st round.
    : C[C@@]1(CC(=O)N1)c2nccs2                , indices: (4, 5, 2, 10)
    : Update molecules_list_dict so that it has the same intial molecules.

*t17(1): COC(=O)Cc1cs/c(=N\S(=O)(=O)C)/[nH]1     , indices: (3, 6, 1, 8)

*t20(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t20(1): COC(=O)Cc1cs/c(=N/S(=O)(=O)C)/[nH]1     , indices: (1, 6, 3, 9)

*t20(2): C1CC1NC(=O)C[N@]2C[C@@H](CO2)O          , indices: (8, 7, 0, 10)

*t20(3): C[C@H](c1[nH][nH]c(=O)n1)NC#N           , indices: (6, 1, 4, 9)

*t18(0): CC(=O)[O-]                              , indices: (3, 0, 1, 5)

*t18(1): Non selected since the randomly selected rotation is already included.

*t18(2): Non selected since the randomly selected rotation is already included.

*t18(3): CC(=O)N[P@](=O)(OC)SC                   , indices: (5, 0, 1, 12)

*t19(0): Precalculated torsion scans detacted from 1st round.
    : c1c(snn1)CNN                            , indices: (0, 1, 2, 10)
    : Update molecules_list_dict so that it has the same intial molecules.

*t19(1): Cc1c(cc(s1)Br)C2CC2                     , indices: (1, 2, 7, 17)

*t19(2): CC(=C)C1(CC1)CON                        , indices: (0, 1, 5, 16)

*t19(3): Non selected since the randomly selected rotation is already included.

*t21(0): Non selected since the randomly selected rotation is already included.

*t22(0): Non selected since the randomly selected rotation is already included.

*t22(1): Non selected since the randomly selected rotation is already included.

*t23(0): Precalculated torsion scans detacted from 1st round.
    : C(CBr)c1[nH]nnn1                        , indices: (2, 1, 0, 6)
    : Update molecules_list_dict so that it has the same intial molecules.

*t23(1): Non selected since the randomly selected rotation is already included.

*t23(2): CC(C)C(=O)NNC=O                         , indices: (2, 4, 1, 6)

*t24(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t24(1): Non selected since the randomly selected rotation is already included.

*t25(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t26(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t27(0): CC[C@@H]1C[C@]1(c2ccc(nn2)OC)N          , indices: (10, 2, 6, 12)

*t27(1): CC1(C[C@]1(C(=O)N)C(=O)O)C              , indices: (0, 3, 1, 10)

*t28(0): Precalculated torsion scans detacted from 1st round.
    : CC(=C)C1(CC1)CON                        , indices: (0, 1, 4, 6)
    : Update molecules_list_dict so that it has the same intial molecules.

*t29(0): Precalculated torsion scans detacted from 1st round.
    : Cc1c(cc(s1)Br)C2CC2                     , indices: (0, 1, 6, 15)
    : Update molecules_list_dict so that it has the same intial molecules.

*t30(0): CC1(C[C@]1(C(=O)N)C(=O)O)C              , indices: (1, 3, 0, 7)

*t31(0): Precalculated torsion scans detacted. Choose one out of them.
    : c1conc1C2(CC2)C(=O)O                    , indices: (2, 6, 3, 8)
    : Update molecules_list_dict so that it has the same intial molecules.

*t31(1): Non selected since the randomly selected rotation is already included.

*t32(0): Precalculated torsion scans detacted from 1st round.
    : c1conc1C2(CC2)C(=O)O                    , indices: (0, 2, 6, 3)
    : Update molecules_list_dict so that it has the same intial molecules.

*t33(0): Precalculated torsion scans detacted from 1st round.
    : CC[C@@H]1C[C@@]1(c2ccc(nn2)OC)N         , indices: (0, 2, 6, 12)
    : Update molecules_list_dict so that it has the same intial molecules.

*t34(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t35(0): Precalculated torsion scans detacted from 1st round.
    : CC[C@H]1C[C@]1(c2ccc(nn2)OC)N           , indices: (0, 2, 6, 4)
    : Update molecules_list_dict so that it has the same intial molecules.

*t36(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t36(1): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t37(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t38(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t39(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t40(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t41(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t41(1): Non selected since the randomly selected rotation is already included.

*t42(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t42(1): Non selected since the randomly selected rotation is already included.

*t43(0): Precalculated torsion scans detacted from 1st round.
    : COc1ccc(cc1OC)c2ccc3ccccc3[o+]2         , indices: (4, 10, 14, 7)
    : Update molecules_list_dict so that it has the same intial molecules.

*t43(1): c1cc(ccc1c2ccc(cc2)OSOc3ccc(cc3)Cl)OSOc4ccc(cc4)Cl, indices: (0, 16, 17, 3)

*t44(0): c1cnc(cc1Cl)[S@](=O)O                   , indices: (1, 3, 0, 2)

*t44(1): CC[C@@H]1C[C@@]1(c2ccc(nn2)OC)N         , indices: (1, 0, 2, 6)

*t44(2): c1cc(ccc1[N+](=O)[O-])S(=O)(=O)NCl      , indices: (0, 4, 1, 3)

*t47(0): CC(=O)c1ccc(cc1)S(=C)(=C)C              , indices: (1, 4, 8, 9)

*t47(1): C[n+]1ccc(cc1)C(=O)N                    , indices: (0, 4, 5, 8)

*t47(2): Cn1cccc1C(=S)N=P(N(C)C)(N(C)C)N(C)C     , indices: (1, 3, 4, 12)

*t47(3): Cc1ccccc1c2[n-]nnn2                     , indices: (5, 4, 6, 9)

*t47(4): Precalculated torsion scans detacted from 1st round.
    : C1=N[C@@H](C(=N1)C(=O)N)[N+]#N          , indices: (3, 1, 2, 8)
    : Update molecules_list_dict so that it has the same intial molecules.

*t49(0): Precalculated torsion scans detacted from 1st round.
    : C[n+]1ccc(cc1)C(=O)N                    , indices: (0, 2, 7, 3)
    : Update molecules_list_dict so that it has the same intial molecules.

*t51(0): c1c(snn1)CNN                            , indices: (1, 2, 6, 5)

*t51(1): C1CC1NC(=O)C[N@@]2C[C@@H](CO2)O         , indices: (0, 7, 8, 11)

*t52(0): Precalculated torsion scans detacted from 1st round.
    : CNCC(Cl)Cl                              , indices: (0, 3, 1, 2)
    : Update molecules_list_dict so that it has the same intial molecules.

*t54(0): Precalculated torsion scans detacted from 1st round.
    : CC[C@@H]1C[C@]1(c2ccc(nn2)OC)N          , indices: (2, 6, 12, 27)
    : Update molecules_list_dict so that it has the same intial molecules.

*t55(0): Precalculated torsion scans detacted from 1st round.
    : C[S@@](=N)(=O)NC1CC1                    , indices: (0, 2, 5, 17)
    : Update molecules_list_dict so that it has the same intial molecules.

*t55(1): Non selected since the randomly selected rotation is already included.

*t57(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t59(0): Precalculated torsion scans detacted from 1st round.
    : C[C@@H](c1[nH][nH]c(=O)n1)NC#N          , indices: (0, 9, 4, 1)
    : Update molecules_list_dict so that it has the same intial molecules.

*t60(0): CO/N=[N+](\C(Br)Br)/[O-]                , indices: (4, 3, 1, 6)

*t63(0): CNC(=O)NCOC                             , indices: (0, 5, 3, 7)

*t64(0): Precalculated torsion scans detacted from 1st round.
    : C1CC1NC(=O)C[N@]2C[C@H](CO2)O           , indices: (0, 9, 5, 2)
    : Update molecules_list_dict so that it has the same intial molecules.

*t65(0): Precalculated torsion scans detacted from 1st round.
    : C(C#N)N=[N+]=[N-]                       , indices: (0, 1, 4, 5)
    : Update molecules_list_dict so that it has the same intial molecules.

*t68(0): Precalculated torsion scans detacted from 1st round.
    : C[C@@]1(CC(=O)N1)c2nccs2                , indices: (5, 8, 3, 9)
    : Update molecules_list_dict so that it has the same intial molecules.

*t68(1): Cc1ccccc1c2[n-]nnn2                     , indices: (9, 6, 8, 10)

*t69(0): C1CC1NC(=O)C[N@]2C[C@@H](CO2)O          , indices: (5, 9, 0, 7)

*t69(1): COP(=O)(NC(=O)C(Cl)(Cl)Cl)OC            , indices: (3, 0, 4, 9)

*t70(0): Non selected since the randomly selected rotation is already included.

*t70(1): CC1(C[C@]1(C(=O)N)C(=O)O)C              , indices: (8, 0, 7, 20)

*t70(2): Non selected since the randomly selected rotation is already included.

*t70(3): C1=N[C@@H](C(=N1)C(=O)N)[N+]#N          , indices: (9, 2, 8, 12)

*t71(0): COC(=O)Cc1cs/c(=N\S(=O)(=O)C)/[nH]1     , indices: (1, 8, 2, 7)

*t71(1): C[C@@H](c1[nH][nH]c(=O)n1)NC#N          , indices: (6, 1, 7, 8)

*t71(2): C1CC(=O)N(C1=O)Br                       , indices: (0, 4, 1, 6)

*t72(0): Precalculated torsion scans detacted from 1st round.
    : c1cc(ccc1[N+](=O)[O-])S(=O)(=O)NCl      , indices: (0, 4, 7, 8)
    : Update molecules_list_dict so that it has the same intial molecules.

*t73(0): Cn1cccc1C(=S)N=P(N(C)C)(N(C)C)N(C)C     , indices: (3, 4, 12, 17)

*t74(0): Non selected since the randomly selected rotation is already included.

*t74(1): Precalculated torsion scans detacted from 1st round.
    : CCc1ccc(cc1)N=S=O                       , indices: (2, 5, 8, 10)
    : Update molecules_list_dict so that it has the same intial molecules.

*t74(2): Non selected since the randomly selected rotation is already included.

*t75(0): Precalculated torsion scans detacted from 1st round.
    : c1cnc(cc1Cl)[S@@](=O)O                  , indices: (2, 5, 4, 8)
    : Update molecules_list_dict so that it has the same intial molecules.

*t75(1): CC[C@H]1C[C@]1(c2ccc(nn2)OC)N           , indices: (0, 2, 10, 11)

*t76(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t78(0): Non selected since the randomly selected rotation is already included.

*t79(0): COC(=O)Cc1cs/c(=N\S(=O)(=O)C)/[nH]1     , indices: (8, 2, 7, 14)

*t80(0): Non selected since the randomly selected rotation is already included.

*t82(0): Precalculated torsion scans detacted from 1st round.
    : c1ccc(cc1)CN=[N+]=[N-]                  , indices: (5, 6, 8, 9)
    : Update molecules_list_dict so that it has the same intial molecules.

*t83(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t83(1): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t84(0): Precalculated torsion scans detacted from 1st round.
    : COC(O)OC                                , indices: (4, 2, 3, 13)
    : Update molecules_list_dict so that it has the same intial molecules.

*t85(0): Precalculated torsion scans detacted from 1st round.
    : CCO                                     , indices: (0, 1, 2, 8)
    : Update molecules_list_dict so that it has the same intial molecules.

*t85(1): C1CC1NC(=O)C[N@@]2C[C@@H](CO2)O         , indices: (4, 6, 12, 26)

*t86(0): CCOP(=O)(N)OCC                          , indices: (0, 2, 6, 8)

*t86(1): CC(=C)C1(CC1)CON                        , indices: (4, 6, 8, 7)

*t89(0): Precalculated torsion scans detacted from 1st round.
    : COC(O)OC                                , indices: (1, 5, 2, 4)
    : Update molecules_list_dict so that it has the same intial molecules.

*t90(0): CNC(=O)NCOC                             , indices: (2, 7, 3, 5)

*t91(0): Precalculated torsion scans detacted from 1st round.
    : c1cc(ccc1OC2CC2)I                       , indices: (4, 9, 8, 7)
    : Update molecules_list_dict so that it has the same intial molecules.

*t92(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t93(0): Precalculated torsion scans detacted from 1st round.
    : C1NC[C@H]2[C@H]1[C@H]2O                 , indices: (13, 4, 6, 15)
    : Update molecules_list_dict so that it has the same intial molecules.

*t94(0): Precalculated torsion scans detacted from 1st round.
    : CC1([C@H]2[C@H]1CCC2)O                  , indices: (6, 5, 7, 19)
    : Update molecules_list_dict so that it has the same intial molecules.

*t95(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t95(1): Non selected since the randomly selected rotation is already included.

*t96(0): Precalculated torsion scans detacted. Choose one out of them.
    : CC(=O)OO                                , indices: (2, 0, 4, 3)
    : Update molecules_list_dict so that it has the same intial molecules.

*t96(1): CC[C@H]1C[C@]1(c2ccc(nn2)OC)N           , indices: (1, 3, 13, 8)

*t97(0): Precalculated torsion scans detacted. Choose one out of them.
    : COc1cc(c(cc1I)O)F                       , indices: (4, 3, 7, 16)
    : Update molecules_list_dict so that it has the same intial molecules.

*t97(1): Precalculated torsion scans detacted from 1st round.
    : CCS(=O)(=O)n1cc(cn1)O                   , indices: (0, 2, 9, 18)
    : Update molecules_list_dict so that it has the same intial molecules.

*t98(0): Precalculated torsion scans detacted from 1st round.
    : CC(=O)OO                                , indices: (1, 0, 4, 3)
    : Update molecules_list_dict so that it has the same intial molecules.

*t98(1): COC(=O)Cc1cs/c(=N/S(=O)(=O)C)/[nH]1     , indices: (4, 12, 3, 6)

*t99(0): Precalculated torsion scans detacted from 1st round.
    : c1conc1C2(CC2)C(=O)O                    , indices: (6, 3, 10, 17)
    : Update molecules_list_dict so that it has the same intial molecules.

*t99(1): CC1(C[C@@]1(C(=O)N)C(=O)O)C             , indices: (3, 1, 10, 21)

*t100(0): Precalculated torsion scans detacted. Choose one out of them.
    : Non selected since the randomly selected rotation is already included.

*t100(1): Non selected since the randomly selected rotation is already included.

*t101(0): Precalculated torsion scans detacted from 1st round.
    : COC(=O)C[N+]#[C-]                       , indices: (2, 6, 1, 5)
    : Update molecules_list_dict so that it has the same intial molecules.

*t101(1): Non selected since the randomly selected rotation is already included.

*t102(0): Precalculated torsion scans detacted from 1st round.
    : c1conc1C2(CC2)C(=O)O                    , indices: (0, 1, 9, 7)
    : Update molecules_list_dict so that it has the same intial molecules.

*t102(1): C1CS(=O)(=O)CCC12CN=C(O2)N              , indices: (6, 11, 0, 8)

*t102(2): COc1ccc(cc1OC)c2ccc3ccccc3[o+]2         , indices: (5, 11, 17, 14)

*t102(3): CC1(C(=O)OOC1(C)C)C                     , indices: (7, 0, 8, 9)

*t106(0): Precalculated torsion scans detacted from 1st round.
    : CSC(=S)NN                               , indices: (1, 5, 0, 4)
    : Update molecules_list_dict so that it has the same intial molecules.

*t107(0): CSC(=S)NN                               , indices: (0, 5, 1, 8)

*t107(1): Precalculated torsion scans detacted from 1st round.
    : CC(=O)N[P@](=O)(OC)SC                   , indices: (8, 9, 3, 18)
    : Update molecules_list_dict so that it has the same intial molecules.

*t108(0): Precalculated torsion scans detacted from 1st round.
    : C[C@@]1(CC(=O)N1)c2nccs2                , indices: (0, 1, 10, 2)
    : Update molecules_list_dict so that it has the same intial molecules.

*t108(1): COC(=O)Cc1cs/c(=N/S(=O)(=O)C)/[nH]1     , indices: (1, 0, 13, 2)

*t109(0): CCS(=O)(=O)n1cc(cn1)O                   , indices: (3, 4, 10, 8)

*t109(1): Precalculated torsion scans detacted from 1st round.
    : CC(C)S(=O)(=O)Br                        , indices: (1, 2, 5, 6)
    : Update molecules_list_dict so that it has the same intial molecules.

*t112(0): Precalculated torsion scans detacted from 1st round.
    : c1cnc(cc1Cl)[S@@](=O)O                  , indices: (1, 4, 8, 6)
    : Update molecules_list_dict so that it has the same intial molecules.

